id,name,desc,shape,north-west-cor,south-east-cor
"ID必须以1开头",,,,
101,平原地带,地势平坦，灵气平和。是初学修炼者打基础和建立宗门的理想之地。,rectangle,"19,9","64,34"
102,西域流沙,茫茫大漠，黄沙漫天。此地气候干燥，日夜温差极大，是沙漠商队的必经之路。,rectangle,"0,0","18,49"
103,南疆蛮荒,古木参天，藤蔓缠绕。此地森林茂密，野兽众多，是采集药材和狩猎的危险之地。,rectangle,"19,35","64,45"
104,极北冰原,千里冰封，万年不化。此地严寒刺骨，风雪交加，只有最坚韧的冒险者才能在此生存。,rectangle,"19,0","64,8"
105,无边碧海,浩瀚无垠，波涛汹涌。此地风浪险恶，暗礁密布，是海商和渔民的挑战之海。,rectangle,"65,0","69,49"
106,天河奔流,一江春水向东流，奔腾不息入东海。此河贯穿东西，水流湍急，是重要的交通要道。,meandering,"18,25","67,47"
107,青峰山脉,连绵起伏，直插云霄。此地山势险峻，多有奇石异洞，是探险者寻宝的热门之地。,rectangle,"28,5","32,20"
108,万丈雪峰,雪峰皑皑，寒风刺骨。此地终年积雪，山路崎岖，是登山者的终极挑战。,rectangle,"25,2","34,7"
109,碧野千里,芳草萋萋，一望无际。此地水草丰美，牛羊成群，是游牧民族的天然牧场。,rectangle,"20,12","39,24"
110,青云林海,古树参天，绿意盎然。此地森林广袤，物产丰富，是伐木工和猎人的主要活动区域。,rectangle,"40,10","59,29"
111,炎狱火山,烈焰冲天，岩浆奔流。此地火山活跃，地热丰富，是铁匠锻造的理想之地，但也极其危险。,square,"52,32","54,34"
112,沃土良田,土地肥沃，五谷丰登。此地土壤深厚，雨水充沛，是农民耕种的黄金宝地。,rectangle,"33,25","37,29"
113,迷雾沼泽,雾气缭绕，泥泞不堪。此地地形复杂，瘴气丛生，是盗贼和亡命之徒的藏身之所。,rectangle,"42,30","45,33"
