id,name,desc,animal_ids,plant_ids,lode_ids
ID must start with 1,,,Animal species IDs in this region,Plant species IDs in this region,Lode IDs in this region
101,Plains Region,"Located in the center of the continent, with flat terrain and peaceful spiritual qi. An ideal place for beginners to build a foundation and establish sects.",3.0,,
102,Western Quicksand,"Located in the far west of the continent, a vast desert with yellow sand filling the sky. The climate is dry with a huge temperature difference between day and night, a mandatory route for desert caravans.",,3.0,
103,Southern Wilds,"Located in the southwest of the continent, with ancient trees reaching the sky and vines entangling. The forest is dense with many wild beasts, a dangerous place for gathering medicinal herbs and hunting.",4.0,,
104,Far North Ice Field,"Located in the far north of the continent, frozen for thousands of miles and unchanging for ten thousand years. It is bone-chillingly cold with wind and snow; only the most resilient adventurers can survive here.",,4.0,
105,Boundless Azure Sea,"Located in the far east of the continent, vast and boundless with surging waves. The wind and waves are treacherous with hidden reefs; it is a sea of challenge for maritime merchants and fishermen.",5.0,,
106,Tianhe River Flow,"Traverses the continent from east to west, a river of spring water flowing east, rushing endlessly into the East Sea. This river cuts across east and west with rapid flow, serving as an important transportation route.",,5.0,
107,Qingfeng Mountains,"Located in the east of the continent, undulating and piercing into the clouds. The mountains are steep with many strange stones and caves, a popular place for adventurers to find treasures.",6.0,,1.0
108,Ten Thousand Zhang Snow Peak,"Located in the northwest of the continent, with snowy peaks and bone-chilling winds. Shrouded in snow all year round with rugged mountain paths, the ultimate challenge for climbers.",,6.0,
109,Thousands of Miles of Green Fields,"Located in the west of the continent, with lush grass stretching as far as the eye can see. The water and grass are abundant with herds of cattle and sheep, a natural pasture for nomadic peoples.",7.0,,
110,Qingyun Forest Sea,"Located in the center of the continent, with ancient trees reaching the sky and vibrant greenery. The forest is vast and rich in resources, a main activity area for loggers and hunters.",,7.0,
111,Lava Volcano,"Located in the northeast of the continent, with flames reaching the sky and magma flowing. The volcano is active with abundant geothermal energy, an ideal place for blacksmiths to forge, but also extremely dangerous.",8.0,,2.0
112,Fertile Farmland,"Located in the east of the continent, with fertile land and abundant crops. The soil is deep and rain is plentiful, a golden treasure land for farmers to cultivate.",,8.0,
113,Underworld Poisonous Swamp,"Located in the south of the continent, shrouded in five-colored miasma all year round with poisonous insects everywhere. Mortals dissolve into bones upon entry; only those practicing poisonous techniques view this as a supreme grotto-heaven.",9.0,,
114,One Hundred Thousand Mountains,"Located in the south of the continent, vast mountains stretching endlessly, the ancestral land of the Yao tribe. The mountains are steep and the roads are difficult to traverse.",10.0,,4.0
115,Purple Bamboo Secluded Realm,"Located in the north-central continent, with purple bamboo forming forests and clear spiritual qi. The wind through the forest sounds like immortal music; quiet cultivation here can cleanse heart demons and comprehend the Dao of heaven and earth.",,9.0,
116,Freezing Frost Wasteland,"Located in the northeast of the continent, where no grass grows and the permafrost is a thousand feet deep. Life is extinguished here, yet it contains the ultimate cold spiritual qi, with ten-thousand-year profound ice occasionally appearing.",11.0,,
117,Shattered Star Gobi,"Located in the southwest of the continent, with flying sand and stones and wind as sharp as a knife. Legend has it that stars once fell here, and violent star power and extraterrestrial meteoric iron still remain.",,10.0,3.0
118,Penglai Lost Island,"Located in the far eastern overseas, hanging alone overseas and shrouded in clouds. Spiritual springs gush on the island, with strange flowers and herbs everywhere, and spiritual qi density far exceeding the mainland, a place yearned for by overseas rogue cultivators.",,11.0,
