id,name,desc,member_act_style,alignment,weight,preferred_weapon,effects,rank_names
,,宗门名称与描述,宗门成员行事风格,阵营(正/中立/邪),权重(默认1),倾向兵器类型,"effects(JSON形式，支持宽松格式，见effects.py说明)",自定义职位(掌门;长老;内门;外门)
1,明心剑宗,"通玄界东方第一宗，以无上剑道称雄于世。云纹阵法为不传心法。【剑道专精】作为剑修，你使用剑类兵器时战力惊人，且在剑道上的感悟速度远超常人。",清明克己，行止如一。重剑与心法并重，讲究明心见性。,RIGHTEOUS,1,SWORD,"{extra_battle_strength_points: 3, extra_weapon_proficiency_gain: 0.5}",
2,百兽宗,"以驯养灵兽闻名，豢养各种妖兽灵怪为战力。【御兽大师】你拥有独特的御兽天赋，捕捉妖兽对你来说轻而易举，善于驱使兽群为你而战。",言语直接，重视力量与血性，崇尚狩猎与搏斗。,EVIL,1,WHIP,"{extra_catch_success_rate: 0.25, extra_hunt_materials: 1}",谷主;供奉;驭兽师;扈从
3,水镜宗,"正道十宗之一，实则严守中立。拥有仙界异宝""彻天水镜""可预知未来。【趋吉避凶】你拥有超乎常人的直觉，视野开阔，且极易在探索中发现奇遇。",处事冷静圆融，喜以柔克刚，擅借力与反制。,NEUTRAL,1,FAN,"{extra_observation_radius: 2, extra_fortune_probability: 0.002, extra_refine_success_rate: 0.05}",镜主;掌镜人;传人;侍镜
4,冥王宗,"行走幽冥之道，术法阴冷狠厉。【通幽】你修行幽冥之法，心志坚定，突破瓶颈时心无杂念，成功率更高。",言辞冷厉少情，敬畏因果而不惧杀伐，偏向效率与结果。,EVIL,1,FAN,"{extra_breakthrough_success_rate: 0.1, extra_retreat_success_rate: 0.1}",殿主;判官;无常;鬼卒
5,朱勾宗,"邪宗大派。以炼器、机关、暗杀闻名于世，素来阴毒冷僻。【暗杀专家】你精通潜伏与刺杀，对于强敌，避开正面交锋、伺机暗杀往往是你最佳的制胜之道。",直面欲望与代价，不惧黑暗，以攻伐见长。,EVIL,1,HIDDEN_WEAPON,"{extra_assassinate_success_rate: 0.15, extra_battle_strength_points: 1, extra_cast_success_rate: 0.05}",楼主;掌刑使;影刺;探子
6,合欢宗,"以情入道，靠双修增进修为，善驭人心，长于权变。【双修秘术】你的体质特殊，通过双修能获得远超常人的修为提升，这是你提升境界的最佳捷径。",辞令婉转，善于拿捏人欲与局势，以柔制刚。,NEUTRAL,1,ZITHER,"{extra_dual_cultivation_exp: 150, shop_buy_price_reduction: 0.1}",宫主;护法;媚仙;侍童
7,镇魂宗,"铁血风格，擅安魂、封邪、渡厄，兼有刚烈镇压之术。【金刚不坏】你修习护体神功，拥有极强的肉身防御与伤害减免能力，如山岳般不可撼动。",肃穆沉稳，重安魂镇邪，少言而果决。,RIGHTEOUS,1,STAFF,"{extra_max_hp: 100, damage_reduction: 0.15}",住持;首座;行者;居士
8,幽魂噬影宗,"镇宗典籍《幽冥录》。幽明气为根基。【如影随形】你极擅身法与遁术，遇到危险时总能全身而退，亦能伺机刺杀落单之敌。",行事隐秘果断，重结果轻虚名，擅潜行与出其不意。,EVIL,1,SABER,"{extra_escape_success_rate: 0.4, extra_assassinate_success_rate: 0.15}",门主;护法;影卫;探子
9,千帆城,"炼器大宗，巧匠云集。著名法宝有灵灭丝、定魂蓝星等。商旅云集，自成体系。【巧夺天工】你深谙炼器与经商之道，温养兵器时常能使其脱胎换骨，且在交易中总能获利。",务实精明，重交易与信誉，崇尚规则与秩序。,NEUTRAL,1,SPEAR,"{extra_item_sell_price_multiplier: 0.05, extra_weapon_upgrade_chance: 0.15, extra_cast_success_rate: 0.05, shop_buy_price_reduction: 0.05}",城主;大供奉;执事;学徒
10,妙化宗,"精擅音律杀伐与精神操控，功法诡谲阴柔，以无形琴音乱人心智，杀人于无形。【魔音贯耳】你擅长以音律乱人心智，灵力深厚绵长，虽不擅肉搏，但手段诡谲。",文雅缥缈中深藏算计，喜用言语与音律掌控局势，杀伐不沾烟火气。,EVIL,1,ZITHER,"{extra_escape_success_rate: 0.5, extra_misfortune_probability: -0.005}",
11,回玄宗,"当世第一阵法大派，以阵法阵诀独步天下，讲究阵法推演与巧思妙用。【阵法聚灵】你善用阵法辅助修炼，能够聚集天地灵气，修炼速度快于常人，且常有意外收获。",严谨细致，追求技术极致，战斗中擅长以后手阵法反制敌人，步步为营。,RIGHTEOUS,1,HIDDEN_WEAPON,"{cultivate_duration_reduction: 0.1, extra_fortune_probability: 0.005}",
12,不夜城,"修习极光玄真法，以万里极光壁的绝对防御闻名于世。【生生不息】你的生命力极其顽强，疗伤效果倍增，寿元亦远超同阶修士。",坚韧顽强，在逆境中图强，行事光明磊落但也深谋远虑，极其护短。,RIGHTEOUS,1,FAN,"{extra_hp_recovery_rate: 0.5, extra_max_lifespan: 20}",城主;阁老;执令;守夜人
13,天行健宗,"专修浩然之气，行事正大光明，刚健果决，对邪魔外道有极强的克制力。【浩然正气】你养浩然之气，气脉悠长，面对境界低于自己的敌人时，能发挥出极强的压制力。",恪守原则，讲究道义，除魔卫道一马当先，宁折不弯。,RIGHTEOUS,1,SWORD,"{realm_suppression_bonus: 0.15}",
14,噬魔宗,"通玄界第一魔宗，行事霸道残忍，擅长搜精噬血与肉体魔功。【搜刮成性】你崇尚力量与掠夺，搜刮凡人虽有伤天和，但能为你带来惊人的财富与资源。",强者为尊，随心所欲，崇尚绝对的力量与杀戮，视众生为血食。,EVIL,1,SABER,"{extra_plunder_multiplier: 2.0, extra_battle_strength_points: 2}",
